uniquename	WZ0AFEAA	ERS1887582	ERS1887583
FRAEX38873_v2_000001110.1	8	6478	79
FRAEX38873_v2_000001120.1	75	18	32
FRAEX38873_v2_000001140.1	139	127	76
FRAEX38873_v2_000001150.1	106	90	101
FRAEX38873_v2_000001630.1	36	279	19
FRAEX38873_v2_000001160.1	101	3	90
FRAEX38873_v2_000001170.1	64	63	18
FRAEX38873_v2_000001180.1	97	90	135
FRAEX38873_v2_000001190.1	108	28	154
FRAEX38873_v2_000001200.1	110	40	125
FRAEX38873_v2_000001210.1	284	5	5661
FRAEX38873_v2_000001220.2	93	94	181
FRAEX38873_v2_000001390.1	5	97	1024
FRAEX38873_v2_000001230.1	164	528	157
FRAEX38873_v2_000001240.1	7	146	42
FRAEX38873_v2_000001250.1	37	43	68
FRAEX38873_v2_000001260.1	7	16158	160
FRAEX38873_v2_000001270.1	112	66	566
FRAEX38873_v2_000001280.1	609	241	3
FRAEX38873_v2_000001290.1	106	38	983
FRAEX38873_v2_000001300.1	149	61	133
FRAEX38873_v2_000001470.1	193	47	319
FRAEX38873_v2_000001310.1	209	100	266
FRAEX38873_v2_000001320.1	315	64	268
FRAEX38873_v2_000001330.1	36	45	239
FRAEX38873_v2_000001340.1	126	87	190
FRAEX38873_v2_000001350.1	5	143	3
FRAEX38873_v2_000001360.1	79	264	3825
FRAEX38873_v2_000001370.1	95	39	193
FRAEX38873_v2_000001380.1	87	56	5369
FRAEX38873_v2_000001400.1	2	2	89
FRAEX38873_v2_000001410.2	1476	111	19
FRAEX38873_v2_000001420.2	129	37	248
FRAEX38873_v2_000001430.1	391	46	182
FRAEX38873_v2_000001440.2	310	21580	384
FRAEX38873_v2_000001450.1	1097	83	292
FRAEX38873_v2_000001460.1	64	144	73
FRAEX38873_v2_000001480.1	130	172	97
FRAEX38873_v2_000001500.1	28	48	205
FRAEX38873_v2_000001510.1	32	51	140
FRAEX38873_v2_000001520.1	27	231	84
FRAEX38873_v2_000001530.1	306	2	93
FRAEX38873_v2_000001550.1	111	589	84
FRAEX38873_v2_000001560.1	22	192	69
FRAEX38873_v2_000001570.2	71	138	128
FRAEX38873_v2_000001580.1	9	207	288
FRAEX38873_v2_000001600.1	180	19	14
FRAEX38873_v2_000001610.1	9	8	57
FRAEX38873_v2_000001620.1	0	63	20
FRAEX38873_v2_000001640.1	13	61	9
FRAEX38873_v2_000001650.1	117	31	74
FRAEX38873_v2_000001660.1	74	79	121
FRAEX38873_v2_000001670.1	96	75	108
FRAEX38873_v2_000001680.1	145	66	13
FRAEX38873_v2_000001690.1	110	5	235
FRAEX38873_v2_000001700.1	75	7	277
FRAEX38873_v2_000001710.1	136	185	84
FRAEX38873_v2_000001740.1	77	121	79
FRAEX38873_v2_000001730.1	162	57	56
FRAEX38873_v2_000001750.1	90	560	51
FRAEX38873_v2_000001760.1	160	158	19
FRAEX38873_v2_000001770.1	243	21	77
FRAEX38873_v2_000001780.2	285	155	29
FRAEX38873_v2_000001790.1	143	100	378
FRAEX38873_v2_000001800.1	85	94	115
FRAEX38873_v2_000001810.1	24	9	1324
FRAEX38873_v2_000001820.1	72	7	26
FRAEX38873_v2_000001830.1	83	48	94
FRAEX38873_v2_000001840.1	95	6	95
FRAEX38873_v2_000001850.1	2715	82	1
FRAEX38873_v2_000001860.1	2	2	48
FRAEX38873_v2_000001870.1	144	40	96
FRAEX38873_v2_000001880.1	44	16	326
FRAEX38873_v2_000001890.1	14	18	51
FRAEX38873_v2_000001900.1	14	62	541
FRAEX38873_v2_000001910.1	101	22	171
FRAEX38873_v2_000001920.1	15	129	72
FRAEX38873_v2_000001930.1	6	134	5
FRAEX38873_v2_000001940.1	173	15	84
FRAEX38873_v2_000001950.1	565	588	111
FRAEX38873_v2_000001960.1	44	5	41
FRAEX38873_v2_000001970.1	28	157	2
FRAEX38873_v2_000001980.1	259	53	149
FRAEX38873_v2_000002030.1	18	244	51
FRAEX38873_v2_000001990.1	31	343	136
FRAEX38873_v2_000002000.1	19275	84	391
FRAEX38873_v2_000002010.1	71	96	67
FRAEX38873_v2_000002020.1	185	52	2
